ID,StartTime,Duration_ns,ConnDuration_ns,DialDuration_ns,DNSDuration_ns,RequestDuration_ns,Status,StatusCode,Error
kong,2024-03-04T09:58:27Z,0,6510532878,616022958,4306503044,969844917,,0,"Get ""http://kong-gateway:8000/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix,2024-03-04T09:58:30Z,8725191046,6469937544,344007208,3241836126,456999042,200 OK,200,
upstream,2024-03-04T09:58:34Z,4357122585,3364797251,112378667,2348455001,441944667,200 OK,200,
upstream,2024-03-04T09:58:34Z,4343139544,2885987627,148823583,1346887042,404375292,200 OK,200,
upstream,2024-03-04T09:58:38Z,4156583418,1528721835,158539709,1087632792,243675209,200 OK,200,
apisix-decoupled,2024-03-04T09:58:39Z,3612665960,1324692668,234233584,841143417,363137875,200 OK,200,
apisix,2024-03-04T09:58:39Z,3509973835,1051750084,169263750,545252250,363949917,200 OK,200,
apisix,2024-03-04T09:58:39Z,7017917253,1354029126,205637417,884513542,732769708,200 OK,200,
kong,2024-03-04T09:58:42Z,0,1686316418,246351542,1006459583,308440916,,0,"Get ""http://kong-gateway:8000/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix-decoupled,2024-03-04T09:58:42Z,0,1672369793,208529959,983973751,349464708,,0,"Get ""http://apisix-gateway-decoupled:9080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix,2024-03-04T09:58:42Z,0,2196411335,207472625,1183134251,456818875,,0,"Get ""http://apisix-gateway:9080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix-decoupled,2024-03-04T09:58:47Z,0,0,0,7938113712,0,,0,"Get ""http://apisix-gateway-decoupled:9080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
upstream,2024-03-04T09:58:58Z,0,0,0,3514078418,0,,0,"Get ""http://httpgobin:8080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix-decoupled,2024-03-04T09:58:59Z,0,0,0,5712147544,0,,0,"Get ""http://apisix-gateway-decoupled:9080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
kong,2024-03-04T09:59:01Z,0,0,0,1665616792,0,,0,"Get ""http://kong-gateway:8000/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
kong,2024-03-04T09:59:04Z,0,0,0,2758036209,0,,0,"Get ""http://kong-gateway:8000/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
kong,2024-03-04T09:59:14Z,0,0,0,16099727425,0,,0,"Get ""http://kong-gateway:8000/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
upstream,2024-03-04T09:59:15Z,0,0,0,0,0,,0,"Get ""http://httpgobin:8080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix,2024-03-04T09:59:12Z,0,0,0,24782450178,0,,0,"Get ""http://apisix-gateway:9080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
upstream,2024-03-04T09:59:19Z,0,0,0,0,0,,0,"Get ""http://httpgobin:8080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
upstream,2024-03-04T10:00:06Z,0,0,0,0,0,,0,"Get ""http://httpgobin:8080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
apisix-decoupled,2024-03-04T10:00:09Z,0,0,0,0,0,,0,"Get ""http://apisix-gateway-decoupled:9080/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
kong,2024-03-04T10:00:54Z,0,0,0,3773369502,0,,0,"Get ""http://kong-gateway:8000/anything/of-foo"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"
